province,year,GDP (100million),GDP per capita,Agricultural population (10thousand),Rural final consumption expenditure (100million),Total export (10000 USD),Fixed asset investment (10000),Urban residents final consumption expenditure (100million),Total population (10thousand),Primary industry added value (100million),Tertiary industry added value (100million),Secondary industry added value (100million),Fiscal expenditure (10000),Fiscal revenue (10000),Total import and export (10000 USD),Total import (10000 USD),Non-agricultural population (10thousand)
云南省,1992年,491.3,1625.0,3346.9,,46700.0,1406900.0,,3832.0,176.4,104.0,211.1,1215908.0,1093214.0,67100.0,20400.0,484.7
云南省,1993年,662.23,1704.0,3380.5,264.69,52300.0,2624200.0,152.8,3885.0,191.71,143.46,327.06,2006172.0,2049436.0,84000.0,31700.0,504.7
云南省,1994年,983.8,2515.0,3414.5,315.66,91000.0,3217300.0,183.01,3939.0,236.3,318.9,428.7,2037309,767018.0,134400.0,43400.0,524.7
云南省,1995年,1222.2,3083.0,3445.5,364.9,121500.0,3805700.0,230.37,3990.0,302.7,384.7,534.8,2351000.0,2852600.0,189600.0,68100.0,544.1
云南省,1996年,1517.7,3779.0,3477.2,450.47,109600.0,3226000.0,285.6,4042.0,360.5,488.2,669.1,2704000.0,1300129.0,192200.0,82600.0,564.3
云南省,1997年,1625.5,3996.0,3506.1,524.39,117200.0,3921000.0,297.54,4094.0,398.6,502.3,724.5,3132012.0,1504181.0,193700.0,76500.0,587.9
云南省,1998年,1831.3,4446.0,3538.0,559.6,117400.0,4904000.0,306.66,4144.0,403.4,609.6,818.3,3280023.0,1682347.0,190300.0,73000.0,605.8
云南省,1999年,1899.8,4558.0,3554.8,684.68,103400.0,7172800.0,306.6,4192.0,406.9,681.1,811.9,3780468.0,1727000.0,166000.0,62500.0,637.6
云南省,2000年,2030.1,4814.0,3584.3,644.66,117500.0,6979400.0,349.48,4241.0,442.3,751.6,836.2,4141100.0,4329500.0,181300.0,63800.0,656.5
云南省,2001年,2077.47,5063.0,3609.9,417.68,124400.0,5136400.0,544.38,4287.0,450.54,746.39,880.54,4964302.0,1913000.0,198900.0,74500.0,677.5
云南省,2002年,2358.7,5472.0,3636.3,433.1,143000.0,8286500.0,628.4,4333.0,463.4,953.2,942.1,5269000.0,2068000.0,222600.0,79700.0,696.8
云南省,2003年,2633.4,6048.0,3662.4,664.71,167700.0,10211800.0,421.52,4376.0,494.6,1079.0,1059.8,5875000.0,2290000.0,267700.0,99100.0,713.2
云南省,2004年,3136.4,7136.0,3691.1,739.33,223900.0,13306000.0,564.35,4415.0,607.8,1260.8,1267.8,6636400.0,2634000.0,374800.0,150900.0,724.1
云南省,2005年,3497.7,7890.0,3720.5,603.77,264200.0,15501800.0,1057.87,4450.0,646.3,1464.1,1387.3,7663100.0,7664000.0,473800.0,209700.0,729.9
云南省,2006年,4090.7,9158.0,3740.2,670.6,339100.0,22086000.0,1149.62,4483.0,704.5,1712.0,1674.2,8935800.0,8870000.0,623200.0,284000.0,742.8
云南省,2007年,5077.4,11287.0,3764.3,789.86,473600.0,27590000.0,1258.5,4514.0,849.6,2170.4,2057.4,11352200.0,11113000.0,878000.0,404400.0,749.7
云南省,2008年,5700.0,12587.0,3789.4,789.86,498700.0,34360000.0,1568.5,4543.0,1021.0,2228.0,2451.0,14702400.0,13600000.0,959900.0,461200.0,753.6
云南省,2009年,6168.2,13536.0,3812.8,920.54,451000.0,45264000.0,1780.1,4571.0,1064.0,2523.9,2580.3,19523400.0,14908200.0,801900.0,350500.0,758.2
云南省,2010年,7224.0,15752.0,3838.3,1080.0,760600.0,55287000.0,2002.1,4602.0,1108.0,2892.0,3223.0,22857200.0,18093000.0,1336800.0,576200.0,763.3
云南省,2011年,9523.1,20653.0,3862.6,1429.23,947300.0,61910000.0,2392.21,4620.0,1396.6,4315.1,3811.4,29296000.0,22582000.0,1605300.0,658000.0,768.4
云南省,2012年,11097.4,23992.0,3885.8,1624.2,1001800.0,78311000.0,2919.4,4631.0,1640.4,4998.6,4458.4,35726600.0,13381500.0,2100500.0,1098700.0,773.2
云南省,2013年,11720.9,25083.0,3350.0072,1685.88,1594000.0,96218300.0,3558.7,4641.0,1895.3,4897.8,4927.8,40965100.0,29767900.0,2582900.0,987000.0,1254.1612
云南省,2014年,12814.59,27264.0,3289.3944,1969.9,1880200.0,114985000.0,3781.0,4653.0,2007.4,6657.7,5376.5,44379800.0,31567300.0,2962200.0,1082000.0,1352.4807
云南省,2015年,13619.17,28806.0,2687.2,2101.3,1662000.0,130693900.0,4252.9,4663.0,2055.71,6169.41,5492.76,47128300.0,32500200.0,2449000.0,790100.0,
云南省,2016年,14788.42,31093.0,2622.3,2213.1,1148000.0,156624900.0,4699.7,4677.0,2195.04,6875.57,5799.34,50188600.0,32049500.0,1989000.0,841700.0,
云南省,2017年,16376.34,34221.0,,2334.8,1143000.0,184748900.0,5265.0,4693.0,2310.73,7833.08,6387.53,57129700.0,33920800.0,2339400.0,1196400,
